model,temperature,threshold,total_trials,score_available_trials,score_unavailable_trials,autonomous_decisions,deferred_decisions,autonomous_coverage,autonomous_accuracy,selective_risk,false_autonomous_acceptance_count,false_autonomous_acceptance_rate_all_trials,false_autonomous_acceptance_rate_autonomous
gpt-4o-2024-08-06,0.5,0.9999069510596555,60,60,0,18,42,0.3,1.0,0.0,0,0.0,0.0
gpt-4o-2024-08-06,0.5,0.999840931566558,60,60,0,19,41,0.31666666666666665,0.9473684210526315,0.05263157894736842,1,0.016666666666666666,0.05263157894736842
gpt-4o-2024-08-06,0.5,0.9996648287462856,60,60,0,20,40,0.3333333333333333,0.9,0.1,2,0.03333333333333333,0.1
gpt-4o-2024-08-06,0.5,0.9995115464619087,60,60,0,23,37,0.38333333333333336,0.9130434782608695,0.08695652173913043,2,0.03333333333333333,0.08695652173913043
gpt-4o-2024-08-06,0.5,0.9993930587440967,60,60,0,24,36,0.4,0.875,0.125,3,0.05,0.125
gpt-4o-2024-08-06,0.5,0.9991929583353883,60,60,0,25,35,0.4166666666666667,0.88,0.12,3,0.05,0.12
gpt-4o-2024-08-06,0.5,0.9985850519709198,60,60,0,26,34,0.43333333333333335,0.8846153846153846,0.11538461538461539,3,0.05,0.11538461538461539
gpt-4o-2024-08-06,0.5,0.998260290849988,60,60,0,27,33,0.45,0.8518518518518519,0.14814814814814814,4,0.06666666666666667,0.14814814814814814
gpt-4o-2024-08-06,0.5,0.998003529862003,60,60,0,30,30,0.5,0.8666666666666667,0.13333333333333333,4,0.06666666666666667,0.13333333333333333
gpt-4o-2024-08-06,0.5,0.9975862377190979,60,60,0,31,29,0.5166666666666667,0.8387096774193549,0.16129032258064516,5,0.08333333333333333,0.16129032258064516
gpt-4o-2024-08-06,0.5,0.9973607670462994,60,60,0,32,28,0.5333333333333333,0.84375,0.15625,5,0.08333333333333333,0.15625
gpt-4o-2024-08-06,0.5,0.9968615613504123,60,60,0,33,27,0.55,0.8181818181818182,0.18181818181818182,6,0.1,0.18181818181818182
gpt-4o-2024-08-06,0.5,0.9950920405351926,60,60,0,35,25,0.5833333333333334,0.8285714285714286,0.17142857142857143,6,0.1,0.17142857142857143
gpt-4o-2024-08-06,0.5,0.9950907467906867,60,60,0,36,24,0.6,0.8333333333333334,0.16666666666666666,6,0.1,0.16666666666666666
gpt-4o-2024-08-06,0.5,0.9941890006345595,60,60,0,38,22,0.6333333333333333,0.7894736842105263,0.21052631578947367,8,0.13333333333333333,0.21052631578947367
gpt-4o-2024-08-06,0.5,0.9929635605097248,60,60,0,39,21,0.65,0.7692307692307693,0.23076923076923078,9,0.15,0.23076923076923078
gpt-4o-2024-08-06,0.5,0.9884509079398683,60,60,0,40,20,0.6666666666666666,0.775,0.225,9,0.15,0.225
gpt-4o-2024-08-06,0.5,0.9856439370166334,60,60,0,41,19,0.6833333333333333,0.7804878048780488,0.21951219512195122,9,0.15,0.21951219512195122
gpt-4o-2024-08-06,0.5,0.9827053935437768,60,60,0,42,18,0.7,0.7857142857142857,0.21428571428571427,9,0.15,0.21428571428571427
gpt-4o-2024-08-06,0.5,0.9150346779797306,60,60,0,43,17,0.7166666666666667,0.7674418604651163,0.23255813953488372,10,0.16666666666666666,0.23255813953488372
gpt-4o-2024-08-06,0.5,0.9052541480259034,60,60,0,44,16,0.7333333333333333,0.75,0.25,11,0.18333333333333332,0.25
gpt-4o-2024-08-06,0.5,0.8868103290162614,60,60,0,45,15,0.75,0.7333333333333333,0.26666666666666666,12,0.2,0.26666666666666666
gpt-4o-2024-08-06,0.5,0.7786053555787753,60,60,0,48,12,0.8,0.6875,0.3125,15,0.25,0.3125
gpt-4o-2024-08-06,0.5,0.7574264045666302,60,60,0,49,11,0.8166666666666667,0.6938775510204082,0.30612244897959184,15,0.25,0.30612244897959184
gpt-4o-2024-08-06,0.5,0.7109243210110989,60,60,0,51,9,0.85,0.7058823529411765,0.29411764705882354,15,0.25,0.29411764705882354
gpt-4o-2024-08-06,0.5,0.6809382638782774,60,60,0,54,6,0.9,0.7222222222222222,0.2777777777777778,15,0.25,0.2777777777777778
gpt-4o-2024-08-06,0.5,0.5590813452921929,60,60,0,55,5,0.9166666666666666,0.7272727272727273,0.2727272727272727,15,0.25,0.2727272727272727
gpt-4o-2024-08-06,0.5,0.5573048470214458,60,60,0,56,4,0.9333333333333333,0.7321428571428571,0.26785714285714285,15,0.25,0.26785714285714285
gpt-4o-2024-08-06,0.5,0.5139941590027373,60,60,0,57,3,0.95,0.7192982456140351,0.2807017543859649,16,0.26666666666666666,0.2807017543859649
