cohort,condition,threshold,total_trials,score_available_trials,score_unavailable_trials,autonomous_decisions,deferred_decisions,autonomous_coverage,autonomous_accuracy,selective_risk,false_autonomous_acceptance_count,false_autonomous_acceptance_rate_all_trials,false_autonomous_acceptance_rate_autonomous
pooled,label_then_evidence,0.9999980183344259,112,112,0,89,23,0.7946428571428571,0.9550561797752809,0.0449438202247191,4,0.03571428571428571,0.0449438202247191
pooled,label_then_evidence,0.999997064707474,112,112,0,90,22,0.8035714285714286,0.9555555555555556,0.044444444444444446,4,0.03571428571428571,0.044444444444444446
pooled,label_then_evidence,0.9999897933314713,112,112,0,91,21,0.8125,0.9560439560439561,0.04395604395604396,4,0.03571428571428571,0.04395604395604396
pooled,label_then_evidence,0.9999770387510999,112,112,0,92,20,0.8214285714285714,0.9565217391304348,0.043478260869565216,4,0.03571428571428571,0.043478260869565216
pooled,label_then_evidence,0.9999038520641101,112,112,0,93,19,0.8303571428571429,0.946236559139785,0.053763440860215055,5,0.044642857142857144,0.053763440860215055
pooled,label_then_evidence,0.9998909793854133,112,112,0,94,18,0.8392857142857143,0.9468085106382979,0.05319148936170213,5,0.044642857142857144,0.05319148936170213
pooled,label_then_evidence,0.9997795606600332,112,112,0,95,17,0.8482142857142857,0.9473684210526315,0.05263157894736842,5,0.044642857142857144,0.05263157894736842
pooled,label_then_evidence,0.9996972344566767,112,112,0,96,16,0.8571428571428571,0.9479166666666666,0.052083333333333336,5,0.044642857142857144,0.052083333333333336
pooled,label_then_evidence,0.99966459043674,112,112,0,97,15,0.8660714285714286,0.9484536082474226,0.05154639175257732,5,0.044642857142857144,0.05154639175257732
pooled,label_then_evidence,0.9995647765505681,112,112,0,98,14,0.875,0.9387755102040817,0.061224489795918366,6,0.05357142857142857,0.061224489795918366
pooled,label_then_evidence,0.9992903233093213,112,112,0,99,13,0.8839285714285714,0.9393939393939394,0.06060606060606061,6,0.05357142857142857,0.06060606060606061
pooled,label_then_evidence,0.9975274032511579,112,112,0,100,12,0.8928571428571429,0.94,0.06,6,0.05357142857142857,0.06
pooled,label_then_evidence,0.9934685218541628,112,112,0,101,11,0.9017857142857143,0.9306930693069307,0.06930693069306931,7,0.0625,0.06930693069306931
pooled,label_then_evidence,0.9839060437740345,112,112,0,102,10,0.9107142857142857,0.9215686274509803,0.0784313725490196,8,0.07142857142857142,0.0784313725490196
pooled,label_then_evidence,0.9808074988666632,112,112,0,103,9,0.9196428571428571,0.912621359223301,0.08737864077669903,9,0.08035714285714286,0.08737864077669903
pooled,label_then_evidence,0.9731362031783409,112,112,0,104,8,0.9285714285714286,0.9134615384615384,0.08653846153846154,9,0.08035714285714286,0.08653846153846154
pooled,label_then_evidence,0.9492250603272814,112,112,0,105,7,0.9375,0.9142857142857143,0.08571428571428572,9,0.08035714285714286,0.08571428571428572
pooled,label_then_evidence,0.9399116796753325,112,112,0,106,6,0.9464285714285714,0.9056603773584906,0.09433962264150944,10,0.08928571428571429,0.09433962264150944
pooled,label_then_evidence,0.9341307649391867,112,112,0,107,5,0.9553571428571429,0.9065420560747663,0.09345794392523364,10,0.08928571428571429,0.09345794392523364
pooled,label_then_evidence,0.8654411373220887,112,112,0,108,4,0.9642857142857143,0.9074074074074074,0.09259259259259259,10,0.08928571428571429,0.09259259259259259
pooled,label_then_evidence,0.8516139578145572,112,112,0,109,3,0.9732142857142857,0.908256880733945,0.09174311926605505,10,0.08928571428571429,0.09174311926605505
pooled,label_then_evidence,0.7945043207104379,112,112,0,110,2,0.9821428571428571,0.9090909090909091,0.09090909090909091,10,0.08928571428571429,0.09090909090909091
pooled,label_then_evidence,0.6234615786952638,112,112,0,111,1,0.9910714285714286,0.9009009009009009,0.0990990990990991,11,0.09821428571428571,0.0990990990990991
pooled,label_then_evidence,0.4563314701779981,112,112,0,112,0,1.0,0.8928571428571429,0.10714285714285714,12,0.10714285714285714,0.10714285714285714
