condition,model,scope,state,target_family,comparisons,family_pairs,unrelated_pairs,family_vs_unrelated_auc_lower,family_vs_unrelated_auc_upper,missing_exact_p_A,all_count,all_C_count,all_C_frequency,all_mean_p_A_lower,all_mean_p_A_upper,all_mean_p_C_lower,all_mean_p_C_upper,family_count,family_C_count,family_C_frequency,family_mean_p_A_lower,family_mean_p_A_upper,family_mean_p_C_lower,family_mean_p_C_upper,unrelated_count,unrelated_C_count,unrelated_C_frequency,unrelated_mean_p_A_lower,unrelated_mean_p_A_upper,unrelated_mean_p_C_lower,unrelated_mean_p_C_upper,own_count,own_C_count,own_C_frequency,own_mean_p_A_lower,own_mean_p_A_upper,own_mean_p_C_lower,own_mean_p_C_upper,macro_family_auc_lower,macro_family_auc_upper,macro_family_count
baseline,qwen3.5:9b,autonomous_depth_only,original,all,121,25,96,0.99,0.99,0,121,9,0.0743801652892562,0.47574484747291573,0.47574484747291573,0.18699939684860528,0.18699939684860528,25,0,0.0,0.9845503640277211,0.9845503640277211,0.01072364164861063,0.01072364164861063,96,9,0.09375,0.3432434108701019,0.3432434108701019,0.2329045414319372,0.2329045414319372,11,0,0.0,0.9839574747970452,0.9839574747970452,0.011129712468230472,0.011129712468230472,1.0,1.0,6
baseline,qwen3.5:9b,autonomous_depth_only,state_101,all,110,24,86,0.9685077519379846,0.9685077519379846,0,110,18,0.16363636363636364,0.46604281923362684,0.46604281923362684,0.2257457135578662,0.2257457135578662,24,0,0.0,0.9727616684636281,0.9727616684636281,0.01892962030636428,0.01892962030636428,86,18,0.20930232558139536,0.3246329078206032,0.3246329078206032,0.28346183260479696,0.28346183260479696,10,0,0.0,0.9755002619960853,0.9755002619960853,0.01697315439650717,0.01697315439650717,0.9915343915343915,0.9915343915343915,5
baseline,qwen3.5:9b,autonomous_depth_only,state_202,all,121,25,96,0.9791666666666666,0.9791666666666666,0,121,6,0.049586776859504134,0.4721580480255053,0.4721580480255053,0.17983383193231867,0.17983383193231867,25,0,0.0,0.9748566171582734,0.9748566171582734,0.014946633904389044,0.014946633904389044,96,6,0.0625,0.34124696231384694,0.34124696231384694,0.22277320641875864,0.22277320641875864,11,0,0.0,0.9722705749517023,0.9722705749517023,0.016576496286721455,0.016576496286721455,0.9771604938271604,0.9771604938271604,6
baseline,qwen3.5:9b,autonomous_depth_only,state_303,all,110,24,86,0.9757751937984496,0.9757751937984496,0,110,7,0.06363636363636363,0.49340007843137473,0.49340007843137473,0.17497336297318244,0.17497336297318244,24,0,0.0,0.9801635371164199,0.9801635371164199,0.012964149018663844,0.012964149018663844,86,7,0.08139534883720931,0.3575591132169435,0.3575591132169435,0.22018523663490855,0.22018523663490855,10,0,0.0,0.9782428981928317,0.9782428981928317,0.013778479684650655,0.013778479684650655,0.9693121693121693,0.9693121693121693,5
baseline,qwen3.5:9b,autonomous_depth_only,all,all,462,98,364,0.9788349405696345,0.9788349405696345,0,462,40,0.08658008658008658,0.4766990673126821,0.4766990673126821,0.19148467337858693,0.19148467337858693,98,0,0.0,0.9781161169752144,0.9781161169752144,0.014359258700261905,0.014359258700261905,364,40,0.10989010989010989,0.3417021693266157,0.3417021693266157,0.23917228502275129,0.23917228502275129,42,0,0.0,0.9775223845029857,0.9775223845029857,0.014578205645620224,0.014578205645620224,0.98520955165692,0.98520955165692,6
family_ablation,qwen3.5:9b,all_crops,original,all,121,25,96,0.9991666666666666,0.9991666666666666,0,121,47,0.3884297520661157,0.29030872949026015,0.29030872949026015,0.41778772345289505,0.41778772345289505,25,0,0.0,0.9776670743120219,0.9776670743120219,0.01684875840249773,0.01684875840249773,96,47,0.4895833333333333,0.11130916052625965,0.11130916052625965,0.5221989122681028,0.5221989122681028,11,0,0.0,0.9760556330659352,0.9760556330659352,0.017859816833796314,0.017859816833796314,1.0,1.0,6
family_ablation,qwen3.5:9b,all_crops,state_101,all,121,25,96,1.0,1.0,0,121,34,0.2809917355371901,0.3100143168039531,0.3100143168039531,0.37240892112991775,0.37240892112991775,25,0,0.0,0.9743523650626246,0.9743523650626246,0.019242146609530764,0.019242146609530764,96,34,0.3541666666666667,0.13700961673659082,0.13700961673659082,0.46437943532793513,0.46437943532793513,11,0,0.0,0.974258320524907,0.974258320524907,0.019163344715204412,0.019163344715204412,1.0,1.0,6
family_ablation,qwen3.5:9b,all_crops,state_202,all,121,25,96,0.9895833333333334,0.9895833333333334,0,121,47,0.3884297520661157,0.26197635083143644,0.26197635083143644,0.3876843362926959,0.3876843362926959,25,0,0.0,0.9626532408524714,0.9626532408524714,0.02493775773889366,0.02493775773889366,96,47,0.4895833333333333,0.07950841072179188,0.07950841072179188,0.48214959112441536,0.48214959112441536,11,0,0.0,0.9644052004327114,0.9644052004327114,0.024026727635384725,0.024026727635384725,0.9833333333333334,0.9833333333333334,6
family_ablation,qwen3.5:9b,all_crops,state_303,all,121,25,96,0.9825,0.9825,0,121,58,0.4793388429752066,0.28643356967485906,0.28643356967485906,0.42103041378012857,0.42103041378012857,25,0,0.0,0.9659011102381514,0.9659011102381514,0.024725746584686945,0.024725746584686945,96,58,0.6041666666666666,0.10948889765316827,0.10948889765316827,0.5242347541956082,0.5242347541956082,11,0,0.0,0.9625185349107049,0.9625185349107049,0.027067926696980407,0.027067926696980407,0.9833333333333334,0.9833333333333334,6
family_ablation,qwen3.5:9b,all_crops,all,all,484,100,384,0.992734375,0.992734375,0,484,186,0.384297520661157,0.28718324170012716,0.28718324170012716,0.3997278486639093,0.3997278486639093,100,0,0.0,0.9701434476163172,0.9701434476163172,0.02143860233390227,0.02143860233390227,384,186,0.484375,0.10932902140945266,0.10932902140945266,0.4982406732290154,0.4982406732290154,44,0,0.0,0.9693094222335645,0.9693094222335645,0.02202945397034146,0.02202945397034146,0.9922743055555556,0.9922743055555556,6
