condition,model,scope,state,target_family,threshold,family_total,family_retained_lower,family_retained_upper,family_rate_lower,family_rate_upper,unrelated_total,unrelated_retained_lower,unrelated_retained_upper,unrelated_rate_lower,unrelated_rate_upper,own_total,own_retained_lower,own_retained_upper,own_rate_lower,own_rate_upper
baseline,qwen3.5:4b,all_crops,original,all,0.63,25,18,18,0.72,0.72,96,2,2,0.020833333333333332,0.020833333333333332,11,8,8,0.7272727272727273,0.7272727272727273
baseline,qwen3.5:4b,all_crops,original,all,0.64,25,18,18,0.72,0.72,96,2,2,0.020833333333333332,0.020833333333333332,11,8,8,0.7272727272727273,0.7272727272727273
baseline,qwen3.5:4b,all_crops,original,all,0.65,25,18,18,0.72,0.72,96,2,2,0.020833333333333332,0.020833333333333332,11,8,8,0.7272727272727273,0.7272727272727273
baseline,qwen3.5:4b,all_crops,original,all,0.66,25,18,18,0.72,0.72,96,2,2,0.020833333333333332,0.020833333333333332,11,8,8,0.7272727272727273,0.7272727272727273
baseline,qwen3.5:4b,all_crops,original,all,0.67,25,18,18,0.72,0.72,96,2,2,0.020833333333333332,0.020833333333333332,11,8,8,0.7272727272727273,0.7272727272727273
baseline,qwen3.5:4b,all_crops,original,all,0.68,25,18,18,0.72,0.72,96,2,2,0.020833333333333332,0.020833333333333332,11,8,8,0.7272727272727273,0.7272727272727273
baseline,qwen3.5:4b,all_crops,original,all,0.69,25,18,18,0.72,0.72,96,2,2,0.020833333333333332,0.020833333333333332,11,8,8,0.7272727272727273,0.7272727272727273
baseline,qwen3.5:4b,all_crops,original,all,0.7,25,17,17,0.68,0.68,96,1,1,0.010416666666666666,0.010416666666666666,11,7,7,0.6363636363636364,0.6363636363636364
baseline,qwen3.5:4b,all_crops,original,all,0.71,25,17,17,0.68,0.68,96,1,1,0.010416666666666666,0.010416666666666666,11,7,7,0.6363636363636364,0.6363636363636364
baseline,qwen3.5:4b,all_crops,original,all,0.72,25,17,17,0.68,0.68,96,1,1,0.010416666666666666,0.010416666666666666,11,7,7,0.6363636363636364,0.6363636363636364
baseline,qwen3.5:4b,all_crops,original,all,0.73,25,17,17,0.68,0.68,96,1,1,0.010416666666666666,0.010416666666666666,11,7,7,0.6363636363636364,0.6363636363636364
baseline,qwen3.5:4b,all_crops,original,all,0.74,25,17,17,0.68,0.68,96,1,1,0.010416666666666666,0.010416666666666666,11,7,7,0.6363636363636364,0.6363636363636364
baseline,qwen3.5:4b,all_crops,original,all,0.75,25,17,17,0.68,0.68,96,1,1,0.010416666666666666,0.010416666666666666,11,7,7,0.6363636363636364,0.6363636363636364
baseline,qwen3.5:4b,all_crops,original,all,0.76,25,17,17,0.68,0.68,96,1,1,0.010416666666666666,0.010416666666666666,11,7,7,0.6363636363636364,0.6363636363636364
baseline,qwen3.5:4b,all_crops,original,all,0.77,25,16,16,0.64,0.64,96,0,0,0.0,0.0,11,7,7,0.6363636363636364,0.6363636363636364
baseline,qwen3.5:4b,all_crops,original,all,0.78,25,15,15,0.6,0.6,96,0,0,0.0,0.0,11,7,7,0.6363636363636364,0.6363636363636364
baseline,qwen3.5:4b,all_crops,original,all,0.79,25,12,12,0.48,0.48,96,0,0,0.0,0.0,11,5,5,0.45454545454545453,0.45454545454545453
baseline,qwen3.5:4b,all_crops,original,all,0.8,25,11,11,0.44,0.44,96,0,0,0.0,0.0,11,4,4,0.36363636363636365,0.36363636363636365
baseline,qwen3.5:4b,all_crops,original,all,0.81,25,10,10,0.4,0.4,96,0,0,0.0,0.0,11,4,4,0.36363636363636365,0.36363636363636365
baseline,qwen3.5:4b,all_crops,original,all,0.82,25,9,9,0.36,0.36,96,0,0,0.0,0.0,11,3,3,0.2727272727272727,0.2727272727272727
baseline,qwen3.5:4b,all_crops,original,all,0.83,25,4,4,0.16,0.16,96,0,0,0.0,0.0,11,2,2,0.18181818181818182,0.18181818181818182
baseline,qwen3.5:4b,all_crops,original,all,0.84,25,3,3,0.12,0.12,96,0,0,0.0,0.0,11,2,2,0.18181818181818182,0.18181818181818182
baseline,qwen3.5:4b,all_crops,original,all,0.85,25,2,2,0.08,0.08,96,0,0,0.0,0.0,11,1,1,0.09090909090909091,0.09090909090909091
baseline,qwen3.5:4b,all_crops,original,all,0.86,25,1,1,0.04,0.04,96,0,0,0.0,0.0,11,1,1,0.09090909090909091,0.09090909090909091
baseline,qwen3.5:4b,all_crops,original,all,0.87,25,1,1,0.04,0.04,96,0,0,0.0,0.0,11,1,1,0.09090909090909091,0.09090909090909091
baseline,qwen3.5:4b,all_crops,original,all,0.88,25,0,0,0.0,0.0,96,0,0,0.0,0.0,11,0,0,0.0,0.0
baseline,qwen3.5:4b,all_crops,original,all,0.89,25,0,0,0.0,0.0,96,0,0,0.0,0.0,11,0,0,0.0,0.0
baseline,qwen3.5:4b,all_crops,original,all,0.9,25,0,0,0.0,0.0,96,0,0,0.0,0.0,11,0,0,0.0,0.0
baseline,qwen3.5:4b,all_crops,original,all,0.91,25,0,0,0.0,0.0,96,0,0,0.0,0.0,11,0,0,0.0,0.0
baseline,qwen3.5:4b,all_crops,original,all,0.92,25,0,0,0.0,0.0,96,0,0,0.0,0.0,11,0,0,0.0,0.0
baseline,qwen3.5:4b,all_crops,original,all,0.93,25,0,0,0.0,0.0,96,0,0,0.0,0.0,11,0,0,0.0,0.0
baseline,qwen3.5:4b,all_crops,original,all,0.94,25,0,0,0.0,0.0,96,0,0,0.0,0.0,11,0,0,0.0,0.0
baseline,qwen3.5:4b,all_crops,original,all,0.95,25,0,0,0.0,0.0,96,0,0,0.0,0.0,11,0,0,0.0,0.0
baseline,qwen3.5:4b,all_crops,original,all,0.96,25,0,0,0.0,0.0,96,0,0,0.0,0.0,11,0,0,0.0,0.0
baseline,qwen3.5:4b,all_crops,original,all,0.97,25,0,0,0.0,0.0,96,0,0,0.0,0.0,11,0,0,0.0,0.0
baseline,qwen3.5:4b,all_crops,original,all,0.98,25,0,0,0.0,0.0,96,0,0,0.0,0.0,11,0,0,0.0,0.0
baseline,qwen3.5:4b,all_crops,original,all,0.99,25,0,0,0.0,0.0,96,0,0,0.0,0.0,11,0,0,0.0,0.0
